frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
400.0,12.6,0.1524,71.3,0.0483159,127.094
5000.0,15.6,0.1016,39.6,0.0528487,106.224
5000.0,0.0,0.0254,31.7,0.000439472,117.996
800.0,5.3,0.2286,71.3,0.0051942,133.48
6300.0,0.0,0.1016,31.7,0.00150092,124.253
500.0,0.0,0.1524,55.5,0.00172668,120.573
200.0,17.4,0.0254,55.5,0.0165706,109.951
200.0,7.3,0.2286,55.5,0.0111706,129.395
630.0,2.0,0.2286,31.7,0.00372371,129.057
6300.0,4.0,0.2286,39.6,0.00473801,114.249
800.0,12.7,0.0254,39.6,0.0130253,130.217
400.0,5.4,0.1524,55.5,0.00433288,126.807
1000.0,1.5,0.3048,39.6,0.00392107,125.797
10000.0,0.0,0.0508,39.6,0.000791822,124.121
3150.0,0.0,0.1016,31.7,0.00150092,129.973
8000.0,0.0,0.1016,71.3,0.00121072,125.465
315.0,17.4,0.0254,71.3,0.016104,114.044
1000.0,5.4,0.1524,71.3,0.00401199,112.803
200.0,12.3,0.1016,55.5,0.0368233,132.304
2000.0,12.3,0.1016,71.3,0.0337792,122.218
8000.0,4.0,0.2286,39.6,0.00473801,113.129
250.0,15.4,0.0508,55.5,0.0271925,124.17
3150.0,8.4,0.0508,71.3,0.00529514,113.315
6300.0,0.0,0.1016,71.3,0.00121072,135.426
1600.0,4.8,0.0254,31.7,0.000930789,128.718
10000.0,1.5,0.3048,39.6,0.00392107,108.991
10000.0,0.0,0.1016,31.7,0.00150092,115.893
1000.0,9.9,0.1524,31.7,0.0252785,122.149
6300.0,4.0,0.2286,71.3,0.00400603,130.123
5000.0,2.0,0.2286,39.6,0.00346574,118.827
16000.0,0.0,0.1524,55.5,0.00172668,134.228
1250.0,8.9,0.1016,39.6,0.0124596,127.71
8000.0,0.0,0.1524,55.5,0.00172668,138.607
2000.0,17.4,0.0254,31.7,0.0176631,124.356
800.0,7.3,0.2286,31.7,0.0132672,129.119
3150.0,3.0,0.3048,39.6,0.00495741,134.946
800.0,6.7,0.1016,55.5,0.0052139,135.953
10000.0,0.0,0.0508,55.5,0.00076193,127.636
4000.0,15.6,0.1016,39.6,0.0528487,106.604
400.0,3.0,0.3048,39.6,0.00495741,125.472
5000.0,8.4,0.0508,71.3,0.00529514,121.146
2500.0,12.3,0.1016,39.6,0.0408268,135.234
6300.0,0.0,0.0254,39.6,0.000428464,136.826
2000.0,12.7,0.0254,71.3,0.0121808,132.301
8000.0,3.0,0.3048,71.3,0.00425727,114.634
315.0,3.0,0.3048,39.6,0.00495741,125.347
1000.0,7.3,0.2286,39.6,0.0123481,122.539
800.0,3.3,0.1016,55.5,0.002211,121.903
200.0,17.4,0.0254,39.6,0.0172206,123.118
1600.0,5.4,0.1524,71.3,0.00401199,133.241
4000.0,5.3,0.2286,39.6,0.00614329,115.801
1250.0,12.3,0.1016,39.6,0.0408268,121.165
630.0,0.0,0.2286,39.6,0.00253511,128.705
1000.0,0.0,0.2286,39.6,0.00253511,130.435
400.0,12.7,0.0254,71.3,0.0121808,125.048
250.0,4.0,0.2286,31.7,0.00509068,120.189
315.0,12.6,0.1524,39.6,0.0584113,116.02
5000.0,4.8,0.0254,39.6,0.000907475,128.816
8000.0,12.7,0.0254,39.6,0.0130253,120.607
4000.0,8.4,0.0508,55.5,0.00544854,122.612
630.0,0.0,0.1016,31.7,0.00150092,126.413
315.0,5.4,0.1524,39.6,0.00485029,118.618
4000.0,4.0,0.2286,71.3,0.00400603,121.728
400.0,0.0,0.3048,39.6,0.00310138,124.809
5000.0,15.4,0.0508,55.5,0.0271925,117.11
