AT,V,AP,RH,PE
18.03,53.16,1013.06,82.03,458.04
16.33,42.44,1013.98,84.9,462.44
17.77,44.6,1016.97,54.25,460.13
14.74,43.71,1024.35,81.53,465.49
12.07,39.99,1009.7,93.27,473.06
15.27,56.89,1013.28,86.92,456.72
17.77,56.53,1019.57,79.89,457.94
18.48,46.48,1007.53,82.57,461.49
23.18,51.3,1012.04,78.64,448.86
22.49,61.27,1019.6,57.1,448.51
25.8,44.57,1008.0,52.56,450.48
22.5,45.38,1014.11,65.08,458.19
23.76,58.82,1011.75,77.34,444.57
5.42,41.38,1020.77,86.02,491.38
14.23,46.18,1017.39,87.29,463.86
22.9,67.25,1017.74,74.53,438.62
12.26,41.5,1014.87,89.41,471.13
21.81,43.77,1011.97,64.72,453.13
25.11,63.21,1012.21,83.58,443.43
25.34,64.27,1013.38,66.02,443.94
27.6,67.25,1017.78,54.25,438.42
5.78,40.62,1016.55,84.98,484.13
19.94,56.53,1020.48,76.43,453.8
16.31,68.28,1003.98,98.62,450.33
29.38,73.42,1011.49,54.96,445.42
7.28,40.67,1020.16,72.7,493.3
20.98,42.23,1013.12,67.37,461.9
24.91,64.45,1013.02,42.34,450.84
11.91,40.69,1014.41,83.71,476.71
23.03,65.12,1016.29,69.8,447.84
22.01,58.46,1016.26,75.99,443.75
34.6,64.96,1003.3,34.32,427.65
8.27,35.76,1020.11,75.25,480.8
17.51,44.9,1009.05,74.91,455.01
16.03,65.46,1013.96,87.56,455.17
7.66,41.92,1031.96,82.48,485.11
34.11,73.56,1006.77,45.92,432.78
17.29,42.86,1014.38,72.3,464.27
31.06,67.17,1007.62,65.54,437.91
13.61,41.74,1021.66,62.83,471.79
8.65,40.56,1023.23,78.85,485.87
24.49,65.61,1014.71,63.47,447.26
30.11,62.04,1010.69,47.96,444.42
15.41,44.78,1007.69,65.17,456.83
30.98,67.45,1015.18,45.4,433.59
26.56,56.57,1013.73,63.9,442.74
15.4,40.69,1015.1,70.25,471.66
23.59,47.43,1006.64,48.92,447.36
24.77,71.94,1006.77,88.86,432.27
21.93,57.17,1009.81,81.15,448.75
8.35,43.79,1016.2,85.23,484.21
14.45,43.34,1015.47,83.33,462.16
26.08,57.32,1012.2,47.06,441.32
11.98,39.35,1014.97,98.05,472.43
26.7,66.56,1005.31,71.97,430.21
28.33,68.14,1004.63,71.21,431.27
5.48,40.07,1019.63,65.62,495.76
13.88,39.39,1014.08,80.48,471.39
15.61,40.89,1010.48,80.26,467.3
25.96,63.77,1013.24,65.43,445.26
22.67,68.08,1013.0,66.59,443.79
8.99,39.04,1021.99,75.98,483.35
9.63,41.14,1027.99,87.89,469.73
7.89,40.46,1019.61,74.53,477.27
26.15,63.21,1012.31,76.44,441.23
27.92,63.07,1010.75,45.26,442.87
21.87,69.45,1014.04,71.19,439.97
18.1,48.06,1015.47,82.47,454.04
10.19,44.63,1020.58,91.64,472.45
33.63,70.4,1004.02,53.6,430.05
18.2,49.39,1018.83,96.3,455.86
24.72,77.54,1008.39,81.03,438.52
25.28,49.5,1013.95,52.79,454.01
11.63,41.5,1013.6,87.11,477.3
13.83,40.2,1013.28,90.44,465.53
32.06,71.85,1007.9,56.44,426.07
31.01,74.16,1010.89,56.52,434.64
6.97,41.26,1010.6,96.88,484.71
21.93,60.84,1017.8,82.61,443.89
17.76,42.42,1009.09,66.26,468.27
21.75,60.27,1018.55,87.81,444.19
25.95,59.92,1010.05,76.05,443.93
14.87,42.77,1017.94,75.06,462.03
29.53,71.97,1008.6,79.25,434.96
14.4,42.18,1015.47,77.7,464.81
16.85,52.9,1019.47,81.28,460.84
26.12,68.94,1007.12,67.08,434.11
3.63,38.44,1016.16,87.38,487.87
26.75,58.33,1013.55,45.47,444.09
25.99,63.07,1012.5,64.81,442.16
32.51,73.56,1007.06,59.6,435.23
26.34,59.21,1013.37,58.98,439.22
26.48,51.43,1006.76,74.3,438.1
6.25,40.02,1032.14,80.22,481.38
14.02,44.47,1028.02,68.97,465.93
25.2,59.21,1017.54,55.53,444.16
29.87,69.13,1001.08,72.75,426.47
19.73,56.65,1020.7,69.49,457.46
25.67,74.78,1010.24,68.87,440.48
19.39,60.1,1010.28,83.31,452.57
11.03,44.78,1013.16,83.85,470.17
31.05,69.13,1000.38,58.49,426.31
29.24,60.23,1009.62,59.71,438.24
17.46,62.1,1019.96,83.99,451.06
19.59,59.87,1018.28,84.83,449.74
25.87,67.79,1011.16,79.88,445.87
29.0,69.13,1001.22,52.96,425.5
15.14,44.21,1019.97,83.86,463.1
22.61,42.8,1014.24,69.71,460.26
28.5,71.32,1002.54,69.35,435.7
25.66,61.08,1013.0,71.21,446.05
10.29,41.46,1020.84,89.03,480.32
9.33,39.96,1024.55,98.58,473.78
22.54,63.91,1012.15,84.91,446.64
14.42,41.16,1004.32,88.42,467.25
25.67,68.3,1017.16,74.19,435.89
25.72,66.86,1007.47,69.14,439.97
25.0,69.71,1009.23,80.92,438.38
25.61,52.36,1014.1,62.9,451.42
19.5,65.12,1015.53,73.87,453.99
