Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
491.0,26.0,123.0,201.0,3.93,822.0,699.0,7.0,37.92118
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7.0,21.16001844
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7.0,16.26473884
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28.0,12.459520796
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56.0,42.69924868
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.53571288
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7.0,19.765208492
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28.0,37.43165204
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.10006412
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0,33.798802996
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28.0,31.17810472
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0,15.60973664
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769451999997
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28.0,13.202086448
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100.0,37.9556538
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7.0,14.98920824
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14.0,22.53207568
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56.0,43.49904084
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3.0,13.5654403
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7.0,10.3938507
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.131120456
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.046164976
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28.0,28.62704352
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.9574724
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7.0,25.893960655999997
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,20.87043852
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14.0,38.60376124
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28.0,37.813621743999995
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41304616
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28.0,31.420110796000003
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.178794196
